Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
Слонимский мясокомбинат,Пищевая промышленность / АПК,slmeat.by,Директор по операциям / IT-директор,Генеральный директор — Скиба С.Л.,+375 1562 2-12-75; +375 1562 4-71-18; +375 1562 2-35-79; +375 1562 2-58-45; +375 1562 4-72-16,slmarket@tut.by,https://www.instagram.com/slonim_mk/; https://t.me/slmeat; https://www.facebook.com/slonim.mk/,B,собран
Лидский молочно-консервный комбинат,Пищевая промышленность / АПК,moloko.lida.by,Директор по операциям / IT-директор,Генеральный директор — Ашманкевич А.Н.,+375 154 52-33-56; +375 152 54-33-83; +375 154 52-72-74; +375 154 52-43-21; +375 154 52-53-11,mkk@mail.lida.by; milida_sbyt@mail.lida.by,,B,собран
Минский молочный завод № 1,Пищевая промышленность / АПК,belmilk.by,Директор по операциям / IT-директор,Генеральный директор — Ермалицкий А.,+375 17 246-51-53; +375 17 270-50-17; +375 17 270-50-18; +375 17 270-10-24; +375 17 270-10-25,secretar@belmilk.by,,B,собран
Кобринский маслодельно-сыродельный завод,Пищевая промышленность / АПК,kobrincheese.com,Директор по операциям / IT-директор,Директор — Чиботарь Р.И.,+375 1642 3-00-21; +375 1642 2-23-21; +375 1642 2-29-70; +375 1642 4-16-91; +375 1642 4-50-65; +375 1642 4-50-64; +375 1642 4-50-63; +375 1642 3-00-65,sec@kobrincheese.com,,B,собран
Туровский молочный комбинат,Пищевая промышленность / АПК,turovmilk.by,Директор по операциям / IT-директор,Директор — Луцко О.В.,+375 2353 53-05-03; +375 2353 53-05-30; +375 2353 53-75-89; +375 2353 53-75-89; +375 29 358-22-02,info@turovmilk.by,,B,собран
Пружанский молочный комбинат,Пищевая промышленность / АПК,prjmilk.by,Директор по операциям / IT-директор,Директор — Лось А.Э.,+375 1632 3-41-78; +375 29 195-37-33; +375 33 318-14-80; +375 16 329-02-96,prjmsz@brest.by,,B,собран
Беловежские сыры,Пищевая промышленность / АПК,belcheese.by,Директор по операциям / IT-директор,И.о. директора — Дробышевский С.В.,+375 1631 9-17-77,info@belcheese.by; bsyr@mail.ru,,B,собран
Гомельхлебпром,Пищевая промышленность / АПК,gomelhlebprom.by,Директор по операциям / IT-директор,Генеральный директор — Аслюк И.С.,+375 232 21-50-22; +375 232 21-50-02; +375 232 21-50-13; +375 232 21-50-12; +375 232 29-59-74; +375 232 29-59-75; +375 232 29-59-73; +375 232 21-50-42; +375 232 21-50-27,marketing@gomelhlebprom.by; office@hlebprom.gomel.by; 3sbyt@gomelhlebprom.by; finance@gomelhlebprom.by; profkom@gomelhlebprom.by,,B,собран
Витебскхлебпром,Пищевая промышленность / АПК,vhp.by,Директор по операциям / IT-директор,Генеральный директор — Рог М.Л.,+375 212 67-04-78; +375 212 67-02-57; +375 212 66-20-17; +375 212 66-04-61; +375 212 67-21-00; +375 29 239-16-00,info@vhp.by,,B,собран
Минскхлебпром,Пищевая промышленность / АПК,minskhleb.by,Директор по операциям / IT-директор,Генеральный директор — Забелло А.Л.,+375 17 270-68-74; +375 17 212-27-85; +375 17 396-92-68; +375 29 244-45-01; +375 17 363-80-00; +375 17 363-80-01; +375 17 363-80-02,mhp@minskhleb.by,,B,собран
Берестейский пекарь,Пищевая промышленность / АПК,bhp.by,Директор по операциям / IT-директор,Генеральный директор — Артёменко А.В.,+375 162 24-86-70; +375 162 24-83-83; +375 162 24-86-40; +375 162 53-21-40; +375 162 53-34-45; +375 29 206-06-38,info@bhp.by,,B,собран
Борисовхлебпром,Пищевая промышленность / АПК,borisovhlebprom.by,Директор по операциям / IT-директор,Директор — Димитриади О.И.; Заместитель генерального директора по коммерческим вопросам — Воронич Л.М.,+375 177 73-26-63; +375 177 76-62-74; +375 177 70-91-91; +375 29 639-11-94,priemn@borisovhlebprom.by; zayvki@borisovhlebprom.by,,B,собран
Слуцкий хлебозавод,Пищевая промышленность / АПК,slhleb.by,Директор по операциям / IT-директор,Директор — Чирец Д.Д.,+375 1795 5-60-27,mail@slhleb.by; market@slhleb.by,,B,собран
Кондитерская фабрика Витьба,Пищевая промышленность / АПК,vitba.by,Директор по операциям / IT-директор,Генеральный директор — Гидранович А.И.; Заместитель генерального директора по коммерческим вопросам — Анацко О.К.,+375 212 67-09-59; +375 29 344-44-23; +375 212 67-09-48; +375 212 67-15-49; +375 212 67-16-68; +375 212 67-12-87,office@vitba.by,https://www.instagram.com/vitba_by/; https://www.facebook.com/factory.vitba/,B,собран
Красный Мозырянин,Пищевая промышленность / АПК,korovka.by,Директор по операциям / IT-директор,Директор — Гавриленко Д.,+375 2355 4-33-64; +375 2355 4-33-74; +375 29 734-47-22; +375 2355 4-33-25; +375 2355 4-33-05; +375 2355 4-33-26; +375 2355 4-33-02; +375 2355 4-33-03; +375 2355 4-33-08,priemnaya@korovka.by; sbyt@korovka.by,,B,собран
Лидахлебопродукт,Пищевая промышленность / АПК,muka.by,Директор по операциям / IT-директор,Генеральный директор — Островский А.Н.,+375 154 65-25-01; +375 154 65-25-60; +375 154 65-25-06; +375 154 65-25-79; +375 154 65-25-59; +375 154 65-26-79; +375 154 65-26-80; +375 154 65-25-56,office@muka.by; n.lida@muka.by; ved@muka.by; market@muka.by,,B,собран
Бобруйский комбинат хлебопродуктов,Пищевая промышленность / АПК,bkh.by,Директор по операциям / IT-директор,Директор — Комейко А.,+375 225 72-87-98; +375 225 72-88-39; +375 225 72-88-54,bkhp1@yandex.by,,B,собран
Минский маргариновый завод,Пищевая промышленность / АПК,margarin.by,Директор по операциям / IT-директор,Директор — Гончаров А.А.,+375 17 301-30-15; +375 17 358-86-45; +375 17 394-49-43; +375 17 374-86-25; +375 17 294-10-15,mail@margarin.by,,B,собран
Гомельский жировой комбинат,Пищевая промышленность / АПК,gjk.by,Директор по операциям / IT-директор,,+375 232 36-07-04; +375 232 50-68-44; +375 44 700-02-07; +375 44 556-66-42; +375 232 50-63-61,info@gjk.by; marketing@gjk.by; sales@gjk.by; export@gjk.by,https://www.youtube.com/@gjk_gomel,B,собран
Гродненский консервный завод,Пищевая промышленность / АПК,fruktoff.by,Директор по операциям / IT-директор,Директор — Демчук С.Л.,+375 152 52-45-27; +375 152 52-01-99; +375 152 52-45-16,fruktoff@mail.ru,,B,собран
Малоритский консервно-овощесушильный комбинат,Пищевая промышленность / АПК,toptyshka.by,Директор по операциям / IT-директор,Директор — Витрук Ю.,+375 1651 2-07-09; +375 1651 2-07-17; +375 1651 2-07-07; +375 1651 2-04-71; +375 1651 2-07-11,market@toptyshka.by; maloritakosk@toptyshka.by; recept@toptyshka.by,,B,собран
Жабинковский сахарный завод,Пищевая промышленность / АПК,sahar.by,Директор по операциям / IT-директор,Директор — Познанский А.Н.,+375 1641 6-99-37; +375 1641 6-99-17; +375 1641 6-99-58; +375 1641 6-99-43; +375 1641 6-99-72; +375 1641 6-99-42; +375 1641 2-73-72,office@sahar.by; market@sahar.by; sbyt2@sahar.by; marketboss@sahar.by,,B,собран
Городейский сахарный комбинат,Пищевая промышленность / АПК,gsr.by,Директор по операциям / IT-директор,Генеральный директор — Соловей Г.М.,+375 1770 6-25-24; +375 1770 6-24-46; +375 1770 6-24-14; +375 1770 6-25-15; +375 1770 5-74-57; +375 1717 78-23-31; +375 1717 71-39-1,info@gsr.by,,B,собран
Слуцкий сахарорафинадный комбинат,Пищевая промышленность / АПК,sugar.by,Директор по операциям / IT-директор,Генеральный директор — Марковец В.,+375 1795 45-45-10; +375 1795 45-45-51; +375 1795 55-55-90; +375 1795 46-99-1; +375 1795 45-01-3,contact@sugar.by; sales@sugar.by,,B,собран
Ultra.by,Ритейл / дистрибуция,ultra.by,Директор по маркетингу / коммерческий директор,Директор — Хилько Д.А.,+375 29 782-55-55; +375 44 782-55-55; +375 25 782-55-55,vip@ultra.by,,B,собран
Elmarket.by,Ритейл / дистрибуция,elmarket.by,Директор по маркетингу / коммерческий директор,,+375 17 336-45-45; +375 17 514-10-54; +375 29 531-83-18; +375 25 531-83-18; +375 44 531-83-18,info@elmarket.by,,B,собран
Megatop,Ритейл / дистрибуция,megatop.by,Директор по маркетингу / коммерческий директор,Собственник — Кулгавов С.,+375 17 377-20-60; 7976,help@megatop.by,,B,собран
Планета Здоровья,Ритейл / дистрибуция,healthplanet.by,Директор по маркетингу / коммерческий директор,,+375 17 543-00-61; +375 44 537-50-50; +375 29 537-50-50; +375 25 537-50-50,info@healthplanet.by,https://www.facebook.com/healthplanetby/,B,собран
Владпродимпорт,Ритейл / дистрибуция,vladimirskoe.by,Директор по маркетингу / коммерческий директор,Директор — Бремшмидт В.Г.,+375 29 686-19-06; +375 17 512-34-08; +375 17 512-85-72; +375 17 227-43-50; +375 44 732-88-85; +375 29 190-28-86,info@vladimirskoe.by,,B,собран
ШагоВита,Ритейл / дистрибуция,shagovita.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Бурмистров С.А.,+375 44 742-00-51; +375 17 242-06-15; +375 17 241-08-23; +375 17 243-12-94; +375 44 797-97-62; +375 222 27-96-03; +375 222 27-70-71; +375 222 27-96-20; +375 222 27-95-93,info@tdsv.by,,B,собран
Светофор,Ритейл / дистрибуция,svetoforbel.by,Директор по маркетингу / коммерческий директор,,+375 17 342-15-42; +375 33 365-05-50,svetofor.bel@gmail.com,,B,собран
Артека Сеть,Ритейл / дистрибуция,arteka.by,Директор по маркетингу / коммерческий директор,Директор — Мисуно А.,+375 17 213-01-27; +375 17 204-11-28; +375 17 204-52-03; +375 17 204-53-02,arteka@arteka.by; manager1@arteka.by; manager2@arteka.by,,B,собран
Qifa.by,Ритейл / дистрибуция,qifa.by,Директор по маркетингу / коммерческий директор,,+375 17 336-04-78; +375 44 742-00-17; +375 44 740-06-72; +375 29 135-07-04; +375 29 130-07-47,expo@qifa.by; minsk2@qifa.by,,B,собран
Caprice,Ритейл / дистрибуция,caprice.by,Директор по маркетингу / коммерческий директор,,+375 17 260-18-88; +375 17 377-48-88; +375 29 605-12-88; +375 29 605-00-88,info@caprice.by; reklama@caprice.by,,B,собран
VDO.by,Ритейл / дистрибуция,vdo.by,Директор по маркетингу / коммерческий директор,,+375 44 770-03-50,info@vdo.by,https://www.facebook.com/vdoby/,B,собран
Добрада,Ритейл / дистрибуция,dobrada.by,Директор по маркетингу / коммерческий директор,Коммерческий директор — Поляков Н.П.,+375 17 287-33-48; +375 17 290-25-45; +375 17 287-32-38,,,B,частично
Грошык,Ритейл / дистрибуция,groshyk.by,Директор по маркетингу / коммерческий директор,Директор сети — Акулин Т.,+375 44 788-80-26,,,B,частично
Электросила,Ритейл / дистрибуция,sila.by,Директор по маркетингу / коммерческий директор,,+375 17 228-66-65; +375 17 218-33-22; +375 29 610-22-11; +375 33 610-22-11; +375 25 610-22-11; +375 17 218-33-17; +375 44 775-58-70,sila@sila.by; multi@sila.by; opt@sila.by; reklama@sila.by,,B,собран
Материк,Ритейл / дистрибуция,diy.by,Директор по маркетингу / коммерческий директор,,+375 17 388-69-88; +375 17 388-69-80; +375 17 388-69-71; +375 17 388-69-72; +375 17 388-69-73; +375 17 388-69-74; +375 17 311-50-00; +375 17 311-50-21; +375 21 248-17-00; +375 21 248-17-14; +375 21 248-17-11; +375 21 248-17-12; +375 21 248-17-13; +375 21 248-17-15; +375 21 248-17-16; +375 15 279-97-03,gip4.info@diy.by; pro@diy.by; gip2-nach-service@diy.by,,B,собран
Neolink,Ритейл / дистрибуция,neolink.by,Директор по маркетингу / коммерческий директор,,+375 44 525-32-81; +375 17 256-18-17; +375 17 256-18-12,info@neolink.by,,B,собран
Веста Ритейл,Ритейл / дистрибуция,vesta-retail.by,Директор по маркетингу / коммерческий директор,Директор — Вениаминов Р.К.,+375 212 66-53-54; +375 212 67-22-55; +375 212 66-05-70; +375 212 66-49-54; +375 212 67-27-31; +375 212 66-36-14,vesta@tut.by,,B,собран
Кравт,Ритейл / дистрибуция,cravt.by,Директор по маркетингу / коммерческий директор,Директор — Костюкевич В.Л.,+375 17 311-30-30; +375 17 310-61-44; +375 17 378-60-03; +375 17 637-88-99; 8-801-100-01-01,,,B,частично
Белфармация,Ритейл / дистрибуция,pharma.by,Директор по маркетингу / коммерческий директор,Генеральный директор — Литош С.В.; Начальник отдела маркетинга ВЭД и тендерных закупок — Трухан Т.П.,+375 17 303-12-59; +375 17 304-73-81; +375 17 242-25-54; +375 17 378-79-98; +375 17 284-48-76; +375 17 284-43-07; +375 17 390-94-68; 169,kovalchuk@pharma.by,,B,собран
Алми,Ритейл / дистрибуция,almi.by,Директор по маркетингу / коммерческий директор,,+375 17 298-98-00; +375 17 308-16-16; +375 17 308-16-00; +375 29 153-76-11,control@almi.by,,B,собран
Данко,Ритейл / дистрибуция,danko.by,Директор по маркетингу / коммерческий директор,,+375 17 361-10-80; +375 29 191-10-80; +375 29 544-10-00; +375 44 507-06-62,info@danko.by,,B,собран
Online Market,Ритейл / дистрибуция,online-market.by,Директор по маркетингу / коммерческий директор,,+375 44 717-47-52,,,B,частично
Holodilnik.by,Ритейл / дистрибуция,holodilnik.by,Директор по маркетингу / коммерческий директор,,+375 44 549-11-44; +375 44 515-15-45,info@holodilnik.by,,B,собран
Ресторация,Ритейл / дистрибуция,restoracia.by,Директор по маркетингу / коммерческий директор,,+375 29 603-36-25; +375 17 513-80-82; +375 29 188-52-60; +375 44 566-03-53; +375 29 101-30-82,info@restoracia.by,https://www.facebook.com/Restoracia/,B,собран
Minsktoys,Ритейл / дистрибуция,minsktoys.by,Директор по маркетингу / коммерческий директор,,+375 29 194-02-31; +375 29 603-09-80; +375 29 232-89-69; +375 33 333-41-40,shop@minsktoys.by; mogilev@minsktoys.by; vitebsk@minsktoys.by; brest@minsktoys.by; grodno@minsktoys.by; gomel@minsktoys.by,,B,собран
Электромаркет,Ритейл / дистрибуция,elm.by,Директор по маркетингу / коммерческий директор,,+375 17 254-72-63; +375 17 270-82-85; +375 17 242-72-63; +375 29 346-17-86; +375 29 767-15-79,,,B,частично
Emmet.by,Ритейл / дистрибуция,emmet.by,Директор по маркетингу / коммерческий директор,,+375 29 666-91-98,,https://www.instagram.com/emmet.by/,B,частично
БелАудитАльянс,Профессиональные услуги,belaudit.by,Управляющий партнёр / директор,Директор и собственник — Жугер Е.В.,+375 17 234-99-93; +375 29 604-33-00,office@belaudit.by,https://www.facebook.com/belaudit.by/,B,собран
ГрандБизнес Эксперт,Профессиональные услуги,gbexpert.by,Управляющий партнёр / директор,Директор по аудиту — Бекешко Д.; Директор консалтингового направления — Сузанский В.,+375 17 308-70-85; +375 17 308-70-84; +375 29 107-88-68; +375 44 533-91-42,info@gbe.by,https://by.linkedin.com/company/gbexpert,B,собран
АСБ Консалт,Профессиональные услуги,asbconsult.by,Управляющий партнёр / директор,Директор — Набокова Т.; Заместитель директора — Лукашенко Е.Е.,+375 17 218-82-24; +375 17 218-82-26; +375 17 218-82-28; +375 152 65-41-59; +375 29 324-65-85; +375 162 93-79-15,info@asbconsult.by; grodno@asbconsult.by; brest@asbconsult.by,,B,собран
ФБК-Бел,Профессиональные услуги,fbk.by,Управляющий партнёр / директор,Управляющий партнёр — Затылкин Н.К.; Директор — Ренейский А.,+375 17 355-42-23; +375 29 662-52-23,fbk@fbk.by,https://by.linkedin.com/company/fbk-bel,B,собран
ПАРТНЕРАУДИТ,Профессиональные услуги,auditby.by,Управляющий партнёр / директор,,+375 17 268-68-68; +375 29 668-38-98,info@auditby.by,,B,собран
ФинЭкспертиза-Бел,Профессиональные услуги,finexpertiza.by,Управляющий партнёр / директор,Руководитель отдела аудита — Тубольцев Е.,+375 17 270-69-82; +375 44 551-76-58,info@finexpertiza.by,,B,собран
Business Assurance BDO,Профессиональные услуги,bdo.by,Управляющий партнёр / директор,Управляющий партнёр — Шкодин А.,+375 17 308-74-50,info@bdo.by; info@assurance.by,https://www.facebook.com/bdobelarus/,B,собран
ПрофАудитКонсалт,Профессиональные услуги,pac-audit.by,Управляющий партнёр / директор,Директор — Карев П.Г.,+375 17 396-87-21; +375 29 191-20-51; +375 29 881-02-51,info@pac-audit.by,,B,собран
Солт БиУай,Профессиональные услуги,salt.by,Управляющий партнёр / директор,,+375 17 394-95-03,info@salt.by,,B,собран
Аудиторский центр Эрудит,Профессиональные услуги,erudite.by,Управляющий партнёр / директор,,+375 17 297-65-60; +375 29 279-12-29,info2015@erudite.by; ik@erudite.by,,B,собран
CIVITTA Belarus,Профессиональные услуги,civitta.by,Управляющий партнёр / директор,Управляющий партнёр — Крутцинна Д.,+375 29 627-70-00,,,B,частично
Ключевые решения,Профессиональные услуги,kr.by,Управляющий партнёр / директор,Управляющий партнёр и основатель — Кулижский А.; Управляющий партнёр и основатель — Гусаковский А.,+375 17 366-15-06; +375 17 366-92-60,kr@kr.by,https://www.facebook.com/krconsult/,B,собран
ИПМ-Консалт,Профессиональные услуги,ipmconsult.by,Управляющий партнёр / директор,Председатель совета директоров — Падунович И.Б.; Директор ИПМ-Консалт оценка — Мирошников С.В.,+375 17 373-21-33; +375 17 280-21-33; +375 17 265-12-47; +375 17 265-12-48,info@ipmconsult.by; sales@ipmconsult.by,,B,собран
БКЦ,Профессиональные услуги,bkc.by,Управляющий партнёр / директор,Директор — Яковцев В.В.,+375 17 374-96-50; +375 17 377-97-47; +375 17 364-96-63; +375 17 394-96-84; +375 29 555-03-93; +375 29 258-03-88; +375 29 322-06-72; +375 29 322-03-93,info@bkc.by,,B,собран
ARTITERA,Профессиональные услуги,artitera.ru,Управляющий партнёр / директор,Генеральный директор и управляющий партнёр — Немкович А.,+375 17 322-11-33; +375 29 115-11-33,art@artitera.ru,,B,собран
Власова Михель и партнеры,Профессиональные услуги,vmp.by,Управляющий партнёр / директор,Управляющий партнёр — Михель К.Н.; Старший партнёр — Власова Л.,+375 17 319-84-96; +375 17 319-84-67; +375 44 743-57-55,,,B,частично
Sorainen Belarus,Профессиональные услуги,sorainen.com,Управляющий партнёр / директор,Управляющий партнёр — Апанасевич К.,+375 17 306-21-02,belarus@sorainen.com,https://www.facebook.com/sorainenbelarus/,B,собран
Степановский Папакуль и партнеры,Профессиональные услуги,spplaw.by,Управляющий партнёр / директор,Управляющий партнёр — Степановский А.; Управляющий партнёр — Папакуль В.,+375 17 269-55-00; +375 29 340-44-83; +375 33 300-44-83,info@spplaw.by,https://www.facebook.com/spplaw/,B,собран
REVERA,Профессиональные услуги,revera.legal,Управляющий партнёр / директор,Основатель и управляющий партнёр — Архипенко Д.,+375 44 500-15-10; +375 25 666-40-40,info@revera.legal,,B,собран
Боровцов и Салей,Профессиональные услуги,borovtsovsalei.com,Управляющий партнёр / директор,Старший партнёр — Салей В.И.,+375 17 293-44-18; +375 17 343-44-18; +375 17 343-44-22; +375 17 260-00-04,info@borovtsovsalei.com,,B,собран
Егоров Пугинский Афанасьев и партнеры,Профессиональные услуги,epap.by,Управляющий партнёр / директор,Управляющий партнёр минского офиса — Туровец Д.,+375 17 368-82-82,minsk_office@epap.by,,B,собран
ЮрСпектр,Профессиональные услуги,urspectr.info,Управляющий партнёр / директор,Генеральный директор — Сломенец О.,+375 17 205-03-00; +375 17 308-28-28; +375 33 350-28-28,cons@urspectr.info,,B,собран
Бел Бизнес Учет,Профессиональные услуги,beluchet.by,Управляющий партнёр / директор,Учредитель / ИП — Перуновская А.А.,+375 17 388-17-78,info@beluchet.by,,B,собран
Коллекция Открытий,Профессиональные услуги,ko.by,Управляющий партнёр / директор,Директор и основатель — Шатковская И.,+375 29 676-47-55; +375 17 239-23-50; +375 17 239-23-55; +375 17 239-23-60,client@ko.by; kandidat@ko.by,,B,собран
Административный ресурс,Профессиональные услуги,ares.by,Управляющий партнёр / директор,,+375 17 215-00-22; +375 44 544-00-22; +375 29 544-00-22,,,B,частично
Губанова и Партнеры,Профессиональные услуги,gubanova.by,Управляющий партнёр / директор,Директор — Губанова Н.,+375 44 555-77-71; +375 29 520-66-89; +375 29 137-56-31,agency@gubanova.net,https://by.linkedin.com/company/gubanova-and-partners,B,собран
Кадровое агентство КАДР,Профессиональные услуги,hrbel.by,Управляющий партнёр / директор,,+375 29 557-20-20; +375 44 557-20-20,info@hrbel.by,,B,собран
KIAT,Профессиональные услуги,kiat.by,Управляющий партнёр / директор,,+375 29 671-35-63; +375 17 202-45-24; +375 17 202-45-36,info@kiat.by; resume@kiat.by,,B,собран
КВАДРАТ,Профессиональные услуги,kwadrat.by,Управляющий партнёр / директор,,+375 17 203-46-97; +375 29 623-46-97,director@kwadrat.by,,B,собран
XXI ВЕК-КОНСАЛТ,Профессиональные услуги,21vk.biz,Управляющий партнёр / директор,Директор — Лысковіч И.; Первый заместитель директора — Чердынцева Т.,+375 17 218-14-56; +375 17 218-14-57; +375 17 218-14-58; +375 17 218-14-59; +375 29 397-67-79; +375 29 700-67-79; +375 29 397-67-71; +375 29 277-60-01,office@21vk.biz; personal@21vk.biz; training@21vk.biz,https://www.facebook.com/21vk.biz/,B,собран
Бизнес-школа Здесь и Сейчас,Профессиональные услуги,zis.expert,Управляющий партнёр / директор,Управляющий партнёр и директор — Шеин С.,+375 17 217-00-62; +375 17 323-66-62; +375 29 654-55-34; +375 29 215-94-83,consulting@zis.by; training@zis.expert; resume@zis.by,,B,собран
Институт IBA,Профессиональные услуги,instituteiba.by,Управляющий партнёр / директор,Ректор — Дюбков В.К.,+375 17 318-09-82; +375 17 318-24-82; +375 17 318-09-15; +375 29 690-40-33,education@instituteiba.by,,B,собран
Васильки,HoReCa,vasilki.by,Операционный директор / собственник,Собственник — Яунцемене А.,+375 17 369-61-04; +375 44 748-82-69; +375 17 280-06-24; +375 29 764-46-59; 7773,,,B,частично
Пицца Темпо,HoReCa,pizzatempo.by,Операционный директор / собственник,Собственник — Яунцемене А.,+375 33 392-32-22; +375 17 373-08-09; +375 17 292-11-11; +375 29 862-11-11; +375 29 192-11-11; +375 25 792-11-11; 7773,box@pizzatempo.by,,B,собран
Ресторан Свои,HoReCa,restoransvoi.by,Операционный директор / собственник,,+375 44 731-31-29,,,B,частично
Группа отелей Виктория,HoReCa,hotel-victoria.by,Операционный директор / собственник,Директор — Дмуховская И.О.,+375 17 239-77-77; +375 17 239-77-66; +375 17 382-00-01; +375 29 157-67-91; +375 44 753-53-57,info@hotel-victoria.by; bs@hotel-victoria.by,https://www.facebook.com/victoriahotels/,B,собран
Robinson Club,HoReCa,robins.by,Операционный директор / собственник,Собственник — Топузидис П.,+375 17 502-13-33; +375 17 502-13-31; +375 44 502-13-33,info@robins.by; reservation@robins.by,,B,собран
Лидо,HoReCa,lido.by,Операционный директор / собственник,Директор — Фурса О.В.,+375 17 284-82-08; +375 29 608-50-85; +375 29 302-59-59; +375 29 109-45-45,info@lido.by,,B,собран
Coffee Embassy,HoReCa,embassy.by,Операционный директор / собственник,Основатель / собственник — Тихонович А.,+375 29 352-10-10; +375 29 356-10-10,info@coffee-embassy.by,,B,собран
Coffee Sound,HoReCa,coffeesound.by,Операционный директор / собственник,Основатель и директор — Чаков Н.,+375 29 623-17-10; +375 29 620-82-10; +375 29 617-76-34; +375 44 588-69-60; +375 44 776-13-61,marketing@coffeesound.by; zakupki@coffeesound.by; arenda@coffeesound.by,https://www.instagram.com/coffeesoundby/; https://www.facebook.com/coffeesoundby/,B,собран
Sushi House,HoReCa,sushihouse.by,Операционный директор / собственник,,+375 29 668-11-11; +375 33 668-11-11; 7440,info@sushihouse.by; marketing@sushihouse.by,,B,собран
Отель Гарни,HoReCa,hotel-garni.by,Операционный директор / собственник,Генеральный директор — Супранович И.В.,+375 17 209-71-00; +375 17 229-76-00; +375 29 364-44-74; +375 29 364-44-75; +375 17 337-15-61,info@minotel.by; info@hotel-garni.by,,B,собран
DoubleTree by Hilton Minsk,HoReCa,dtminsk.by,Операционный директор / собственник,Генеральный менеджер — Когольос М.,+375 17 309-80-00; +375 44 507-17-29,doubletreeminsk.info@hilton.com; ember@hilton.com,https://www.facebook.com/DoubleTreeMinsk/,B,собран
Renaissance Minsk,HoReCa,renaissance.by,Операционный директор / собственник,Генеральный менеджер — Сидор Е.,+375 17 309-90-90; +375 17 309-90-99; +375 17 309-90-98; +375 17 309-90-85; +375 17 309-90-94,reception@renaissance.by; reservations@renaissance.by; sales@renaissance.by; restaurant@renaissance.by; renaissance@minskspa.by,,B,собран
Раковский Бровар,HoReCa,brovar.by,Операционный директор / собственник,,+375 17 358-89-30; +375 44 733-93-39,office@brovar.by,,B,собран
News Cafe,HoReCa,newscafe.by,Операционный директор / собственник,Управляющая / ресторатор — Садовская Н.,+375 29 103-11-11,,https://www.instagram.com/news_cafe_minsk/,B,частично
Кравира,Медицина,kravira.by,Операционный директор / собственник,Директор — Касацкая М.Г.,+375 17 211-28-61; +375 29 100-00-03; +375 33 900-00-03; +375 17 224-25-43; 403,kravira@kravira.by,,B,собран
Синэво,Медицина,synevo.by,Операционный директор / собственник,,+375 17 338-88-88; +375 17 228-50-28; +375 29 628-54-28; +375 29 555-54-28; +375 17 286-38-06,,,B,частично
Эксана,Медицина,eksana.by,Операционный директор / собственник,,+375 17 215-02-02; 7802,info@eksana.by; callcentre@eksana.by,https://www.instagram.com/eksana_belarus/,B,собран
Медцентр Sante,Медицина,sante.by,Операционный директор / собственник,Директор — Короед Е.А.,+375 17 342-82-82; +375 29 342-82-82; +375 33 342-82-82,info@sante.by,,B,собран
Медцентр Гармония,Медицина,garmonya.by,Операционный директор / собственник,Директор — Герасимович Е.М.,+375 177 75-40-00; +375 29 312-11-11; +375 29 851-11-11; +375 1775 4-10-00,help@garmonya.by,,B,собран
Клиника Мерси,Медицина,mercimed.by,Операционный директор / собственник,,+375 17 311-94-14; +375 29 550-04-14; +375 29 134-04-14; 414,director@mercimed.by,https://www.instagram.com/mercimed.by/; https://www.facebook.com/mercimedcentr/,B,собран
ЭверестДент,Медицина,everestdent.by,Операционный директор / собственник,,+375 29 623-72-37,info@everestdent.by,https://www.instagram.com/everestdent_minsk/; https://www.facebook.com/everestdent.minsk/,B,собран
Новое Зрение,Медицина,eyes.by,Операционный директор / собственник,Директор — Мурашко В.,+375 17 270-98-11; +375 17 270-98-17; +375 44 549-44-66; +375 29 549-44-66,minsk@eyes.by,,B,собран
Любимый Доктор,Медицина,lubimydoctor.by,Операционный директор / собственник,,+375 17 325-55-33; +375 29 324-55-33; +375 33 324-55-33; +375 33 651-61-23; +375 44 772-77-71,info@lubimydoctor.by,https://www.instagram.com/lubimydoctor/,B,собран
Инвитро Беларусь,Медицина,invitro.by,Операционный директор / собственник,Директор по Беларуси — Шиянов В.,+375 17 278-78-07; +375 17 222-21-31; +375 29 685-41-41; +375 33 685-41-41; 8-801-100-41-41,info@invitro.by,,B,собран
Мир Фитнеса,Услуги,mf.by,Операционный директор / собственник,,+375 29 670-00-48,info@mf.by,,B,собран
Сеть фитнеса Адреналин,Услуги,adrenalin.by,Операционный директор / собственник,Собственник / основатель — Шуст О.,+375 44 571-30-30; +375 29 571-30-30; +375 44 768-50-00; +375 29 768-50-00; +375 29 339-50-15; +375 44 502-40-00,info@adrenalin.by; fit@adrenalin.by,,B,собран
Аэротрэвел,Услуги,airtravel.by,Операционный директор / собственник,Директор — Працукевич П.А.,+375 17 336-07-10; +375 17 336-07-11,info@airtravel.by,,B,собран
Внешинтурист,Услуги,321.by,Операционный директор / собственник,Глава компании — Маковский В.; Директор — Маковская О.,+375 17 306-46-56; +375 17 311-50-50; +375 17 284-49-20; +375 17 284-69-06; +375 17 335-26-82; +375 17 335-26-83,tourism@321.by; ticket@321.by,,B,собран
Streamline,Услуги,str.by,Операционный директор / собственник,Основатель и директор — Целюк Э.,+375 17 349-70-70; +375 29 349-70-70,info@str.by,,B,собран
